chr	source	feature	start	end	score	strand	frame	group	log_RPKM	expression
chr1	.	miRNA	243509478	243509557	.	+	.	Name=hsa-mir-4677;ID=MI0017308	3.06874730326443	1
chr1	.	miRNA	249120576	249120642	.	+	.	Name=hsa-mir-3124;ID=MI0014140	1.01947386915187	1
chr10	.	miRNA	687629	687718	.	-	.	Name=hsa-mir-5699;ID=MI0019306	2.62694929947205	1
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	2.6393475100277	1
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	2.6393475100277	1
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	2.6393475100277	1
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	2.6393475100277	1
chr10	.	miRNA	21785491	21785570	.	-	.	Name=hsa-mir-1915;ID=MI0008336	0.1484770529936	0
chr10	.	miRNA	30657526	30657594	.	-	.	Name=hsa-mir-7162;ID=MI0023623	0.302627732820859	0
chr10	.	miRNA	45659462	45659536	.	+	.	Name=hsa-mir-3156-1;ID=MI0014184	0.101957037358707	0
chr10	.	miRNA	53059333	53059415	.	+	.	Name=hsa-mir-605;ID=MI0003618	0.101957037358707	0
chr10	.	miRNA	56367634	56367717	.	-	.	Name=hsa-mir-548f-1;ID=MI0006374	0.197267217163032	0
chr10	.	miRNA	65132717	65132808	.	-	.	Name=hsa-mir-1296;ID=MI0003780	3.31714551665593	2
chr10	.	miRNA	69163109	69163168	.	-	.	Name=hsa-mir-7151;ID=MI0023611	0.101957037358707	0
chr10	.	miRNA	73550504	73550557	.	+	.	Name=hsa-mir-7152;ID=MI0023612	0.1484770529936	0
chr10	.	miRNA	74480787	74480858	.	+	.	Name=hsa-mir-4676;ID=MI0017307	0.792032374919302	0
chr10	.	miRNA	97824072	97824156	.	-	.	Name=hsa-mir-3157;ID=MI0014185	2.2402173773856	1
chr10	.	miRNA	100154975	100155064	.	-	.	Name=hsa-mir-1287;ID=MI0006349	5.358589406874	2
chr10	.	miRNA	100191049	100191117	.	-	.	Name=hsa-mir-4685;ID=MI0017317	0.0149456603690776	0
chr10	.	miRNA	100684256	100684325	.	-	.	Name=hsa-mir-6507;ID=MI0022219	0.101957037358707	0
chr10	.	miRNA	103361174	103361254	.	-	.	Name=hsa-mir-3158-2;ID=MI0014187	2.58788554144807	1
chr10	.	miRNA	103361174	103361254	.	+	.	Name=hsa-mir-3158-1;ID=MI0014186	3.07221420185381	1
chr10	.	miRNA	104196269	104196341	.	+	.	Name=hsa-mir-146b;ID=MI0003129	6.71549768770248	2
chr10	.	miRNA	105154010	105154158	.	-	.	Name=hsa-mir-1307;ID=MI0006444	3.87238847621443	2
chr10	.	miRNA	106028094	106028163	.	-	.	Name=hsa-mir-4482;ID=MI0016843	3.0955400120218	1
chr10	.	miRNA	112657848	112657913	.	+	.	Name=hsa-mir-4680;ID=MI0017312	0.509464810949201	0
chr10	.	miRNA	112748684	112748771	.	+	.	Name=hsa-mir-548e;ID=MI0006344	4.52397129069957	2
chr10	.	miRNA	114059370	114059446	.	-	.	Name=hsa-mir-6715b;ID=MI0022549	0.101957037358707	0
chr10	.	miRNA	114059370	114059448	.	+	.	Name=hsa-mir-6715a;ID=MI0022548	0.1484770529936	0
chr10	.	miRNA	118927189	118927285	.	-	.	Name=hsa-mir-3663;ID=MI0016064	0.101957037358707	0
chr10	.	miRNA	135061015	135061124	.	-	.	Name=hsa-mir-202;ID=MI0003130	1.06599388478677	1
chr10	.	miRNA	135185060	135185167	.	-	.	Name=hsa-mir-3944;ID=MI0016601	1.35384329888251	1
chr11	.	miRNA	209336	209406	.	+	.	Name=hsa-mir-6743;ID=MI0022588	0.509464810949201	0
chr11	.	miRNA	568089	568198	.	-	.	Name=hsa-mir-210;ID=MI0000286	7.33060818085455	2
chr11	.	miRNA	1277835	1277900	.	+	.	Name=hsa-mir-6744;ID=MI0022589	0.1484770529936	0
chr11	.	miRNA	1901275	1901377	.	+	.	Name=hsa-mir-7847;ID=MI0025517	0.1484770529936	0
chr11	.	miRNA	2017989	2018061	.	-	.	Name=hsa-mir-675;ID=MI0005416	3.41290337226191	2
chr11	.	miRNA	2155364	2155439	.	-	.	Name=hsa-mir-483;ID=MI0002467	0.101957037358707	0
chr11	.	miRNA	3877292	3877371	.	+	.	Name=hsa-mir-4687;ID=MI0017319	0.101957037358707	0
chr11	.	miRNA	19781550	19781629	.	-	.	Name=hsa-mir-4694;ID=MI0017327	0.101957037358707	0
chr11	.	miRNA	34963384	34963467	.	+	.	Name=hsa-mir-1343;ID=MI0017320	0.505375298960379	0
chr11	.	miRNA	43581206	43581303	.	+	.	Name=hsa-mir-670;ID=MI0003933	1.80301778402616	1
chr11	.	miRNA	43602944	43603033	.	+	.	Name=hsa-mir-129-2;ID=MI0000473	1.48364008813531	1
chr11	.	miRNA	45713254	45713326	.	-	.	Name=hsa-mir-7154;ID=MI0023614	0.101957037358707	0
chr11	.	miRNA	46473355	46473439	.	-	.	Name=hsa-mir-3160-1;ID=MI0014189	0.101957037358707	0
chr11	.	miRNA	46473357	46473437	.	+	.	Name=hsa-mir-3160-2;ID=MI0014190	0.101957037358707	0
chr11	.	miRNA	46774675	46774742	.	-	.	Name=hsa-mir-5582;ID=MI0019138	4.78357694549548	2
chr11	.	miRNA	57408671	57408759	.	+	.	Name=hsa-mir-130a;ID=MI0000448	2.77716275882458	1
chr11	.	miRNA	59362550	59362631	.	-	.	Name=hsa-mir-3162;ID=MI0014192	0.101957037358707	0
chr11	.	miRNA	59976544	59976629	.	-	.	Name=hsa-mir-6503;ID=MI0022215	0.101957037358707	0
chr11	.	miRNA	61582633	61582712	.	-	.	Name=hsa-mir-1908;ID=MI0008329	0.1484770529936	0
chr11	.	miRNA	61645688	61645750	.	-	.	Name=hsa-mir-6746;ID=MI0022591	0.101957037358707	0
chr11	.	miRNA	62334483	62334543	.	-	.	Name=hsa-mir-6747;ID=MI0022592	1.01456042366189	1
chr11	.	miRNA	62557287	62557357	.	+	.	Name=hsa-mir-6748;ID=MI0022593	0.101957037358707	0
chr11	.	miRNA	62560174	62560243	.	-	.	Name=hsa-mir-6514;ID=MI0022226	1.97234261302346	1
chr11	.	miRNA	64109321	64109376	.	-	.	Name=hsa-mir-7155;ID=MI0023615	1.75059106182036	1
chr11	.	miRNA	64136074	64136175	.	+	.	Name=hsa-mir-1237;ID=MI0006327	2.22484675167409	1
chr11	.	miRNA	64658609	64658718	.	-	.	Name=hsa-mir-192;ID=MI0000234	8.0652356234517	2
chr11	.	miRNA	64658827	64658911	.	-	.	Name=hsa-mir-194-2;ID=MI0000732	9.68513273019597	2
chr11	.	miRNA	64665835	64665909	.	-	.	Name=hsa-mir-6750;ID=MI0022595	0.505375298960379	0
chr11	.	miRNA	64669859	64669927	.	-	.	Name=hsa-mir-6749;ID=MI0022594	0.101957037358707	0
chr11	.	miRNA	64785977	64786042	.	+	.	Name=hsa-mir-6879;ID=MI0022726	0.101957037358707	0
chr11	.	miRNA	64897388	64897450	.	-	.	Name=hsa-mir-6751;ID=MI0022596	1.19647143483872	1
chr11	.	miRNA	65403781	65403840	.	+	.	Name=hsa-mir-4690;ID=MI0017323	1.97423096907681	1
chr11	.	miRNA	67257716	67257786	.	+	.	Name=hsa-mir-6752;ID=MI0022597	0.101957037358707	0
chr11	.	miRNA	67800331	67800389	.	+	.	Name=hsa-mir-7113;ID=MI0022964	0.101957037358707	0
chr11	.	miRNA	67801364	67801448	.	+	.	Name=hsa-mir-4691;ID=MI0017324	0.460923536389545	0
chr11	.	miRNA	67812261	67812424	.	+	.	Name=hsa-mir-6753;ID=MI0022598	0.101957037358707	0
chr11	.	miRNA	70718375	70718473	.	-	.	Name=hsa-mir-3664;ID=MI0016065	1.01456042366189	1
chr11	.	miRNA	71184549	71184614	.	+	.	Name=hsa-mir-6754;ID=MI0022599	0.101957037358707	0
chr11	.	miRNA	72326107	72326174	.	-	.	Name=hsa-mir-139;ID=MI0000261	8.82033677842536	2
chr11	.	miRNA	79113066	79113153	.	-	.	Name=hsa-mir-708;ID=MI0005543	1.491313834149	1
chr11	.	miRNA	79133213	79133270	.	-	.	Name=hsa-mir-5579;ID=MI0019133	0.101957037358707	0
chr11	.	miRNA	85989375	85989440	.	+	.	Name=hsa-mir-6755;ID=MI0022600	2.29576787259431	1
chr11	.	miRNA	93466840	93466930	.	-	.	Name=hsa-mir-1304;ID=MI0006371	4.94648217545911	2
chr11	.	miRNA	103720634	103720708	.	+	.	Name=hsa-mir-4693;ID=MI0017326	0.0575052747878735	0
chr11	.	miRNA	111383663	111383746	.	+	.	Name=hsa-mir-34b;ID=MI0000742	0.101957037358707	0
chr11	.	miRNA	111384164	111384240	.	+	.	Name=hsa-mir-34c;ID=MI0000743	0.509464810949201	0
chr11	.	miRNA	118514718	118514797	.	+	.	Name=hsa-mir-6716;ID=MI0022550	0.1484770529936	0
chr11	.	miRNA	119183660	119183722	.	-	.	Name=hsa-mir-6756;ID=MI0022601	0.505375298960379	0
chr11	.	miRNA	121970465	121970552	.	-	.	Name=hsa-mir-125b-1;ID=MI0000446	8.08082738994687	2
chr11	.	miRNA	122017230	122017301	.	-	.	Name=hsa-let-7a-2;ID=MI0000061	11.3277638583964	2
chr11	.	miRNA	122022937	122023016	.	-	.	Name=hsa-mir-100;ID=MI0000102	10.6141560446138	2
chr11	.	miRNA	133768399	133768476	.	-	.	Name=hsa-mir-4697;ID=MI0017330	0.460923536389545	0
chr12	.	miRNA	7072862	7072929	.	+	.	Name=hsa-mir-200c;ID=MI0000650	5.57703340221203	2
chr12	.	miRNA	7073260	7073354	.	+	.	Name=hsa-mir-141;ID=MI0000457	8.53000526415244	2
chr12	.	miRNA	42717502	42717661	.	-	.	Name=hsa-mir-7851;ID=MI0025521	0.101957037358707	0
chr12	.	miRNA	48526580	48526650	.	+	.	Name=hsa-mir-6505;ID=MI0022217	1.80726263411116	1
chr12	.	miRNA	49165758	49165820	.	-	.	Name=hsa-mir-4701;ID=MI0017334	0.1484770529936	0
chr12	.	miRNA	53450728	53450796	.	+	.	Name=hsa-mir-6757;ID=MI0022602	0.101957037358707	0
chr12	.	miRNA	54385522	54385631	.	+	.	Name=hsa-mir-196a-2;ID=MI0000279	8.45101284932204	2
chr12	.	miRNA	54427734	54427829	.	+	.	Name=hsa-mir-615;ID=MI0003628	6.73315875513011	2
chr12	.	miRNA	54731000	54731098	.	+	.	Name=hsa-mir-148b;ID=MI0000811	11.372002733155	2
chr12	.	miRNA	57588287	57588359	.	+	.	Name=hsa-mir-1228;ID=MI0006318	2.21257910473672	1
chr12	.	miRNA	57906471	57906533	.	+	.	Name=hsa-mir-6758;ID=MI0022603	1.60535261736918	1
chr12	.	miRNA	57912946	57913042	.	-	.	Name=hsa-mir-616;ID=MI0003629	0.101957037358707	0
chr12	.	miRNA	58142401	58142465	.	-	.	Name=hsa-mir-6759;ID=MI0022604	0.505375298960379	0
chr12	.	miRNA	58218392	58218475	.	-	.	Name=hsa-mir-26a-2;ID=MI0000750	11.0287586604779	2
chr12	.	miRNA	62997466	62997549	.	+	.	Name=hsa-let-7i;ID=MI0000434	12.7361772722435	2
chr12	.	miRNA	65016289	65016385	.	+	.	Name=hsa-mir-548c;ID=MI0003630	0.101957037358707	0
chr12	.	miRNA	66644862	66644937	.	+	.	Name=hsa-mir-6502;ID=MI0022214	0.101957037358707	0
chr12	.	miRNA	69978502	69978603	.	-	.	Name=hsa-mir-3913-1;ID=MI0016417	4.37700308185623	2
chr12	.	miRNA	69978503	69978602	.	+	.	Name=hsa-mir-3913-2;ID=MI0016418	4.37700308185623	2
chr12	.	miRNA	79813037	79813101	.	+	.	Name=hsa-mir-1252;ID=MI0006434	1.01947386915187	1
chr12	.	miRNA	81552167	81552240	.	+	.	Name=hsa-mir-4699;ID=MI0017332	0.101957037358707	0
chr12	.	miRNA	94965007	94965128	.	-	.	Name=hsa-mir-7844;ID=MI0025514	0.101957037358707	0
chr12	.	miRNA	95702196	95702289	.	+	.	Name=hsa-mir-331;ID=MI0000812	6.19700760995899	2
chr12	.	miRNA	97885687	97885756	.	+	.	Name=hsa-mir-1251;ID=MI0006386	0.1484770529936	0
chr12	.	miRNA	97957590	97957689	.	+	.	Name=hsa-mir-135a-2;ID=MI0000453	0.465013048378368	0
chr12	.	miRNA	104985411	104985494	.	+	.	Name=hsa-mir-3922;ID=MI0016429	1.01456042366189	1
chr12	.	miRNA	109230684	109230782	.	-	.	Name=hsa-mir-619;ID=MI0003633	0.0575052747878735	0
chr12	.	miRNA	111741946	111742013	.	+	.	Name=hsa-mir-6760;ID=MI0022605	0.101957037358707	0
chr12	.	miRNA	112237638	112237709	.	+	.	Name=hsa-mir-6761;ID=MI0022606	0.101957037358707	0
chr12	.	miRNA	112601062	112601125	.	-	.	Name=hsa-mir-6861;ID=MI0022708	0.197267217163032	0
chr12	.	miRNA	113596918	113596982	.	-	.	Name=hsa-mir-7106;ID=MI0022957	0.101957037358707	0
chr12	.	miRNA	113729328	113729413	.	+	.	Name=hsa-mir-6762;ID=MI0022607	0.970108661091054	1
chr12	.	miRNA	120151439	120151529	.	-	.	Name=hsa-mir-1178;ID=MI0006271	1.10987060346621	1
chr12	.	miRNA	121160996	121161069	.	+	.	Name=hsa-mir-4700;ID=MI0017333	0.927549046672258	1
chr12	.	miRNA	121882076	121882155	.	-	.	Name=hsa-mir-7107;ID=MI0022958	0.0149456603690776	0
chr12	.	miRNA	124821727	124821788	.	-	.	Name=hsa-mir-6880;ID=MI0022727	0.101957037358707	0
chr12	.	miRNA	133158583	133158647	.	+	.	Name=hsa-mir-6763;ID=MI0022608	0.197267217163032	0
chr13	.	miRNA	24736555	24736643	.	+	.	Name=hsa-mir-2276;ID=MI0011282	1.01702016414717	1
chr13	.	miRNA	42142422	42142531	.	-	.	Name=hsa-mir-5006;ID=MI0017873	0.1484770529936	0
chr13	.	miRNA	50570551	50570637	.	-	.	Name=hsa-mir-3613;ID=MI0016003	5.37418058681226	2
chr13	.	miRNA	50623109	50623197	.	-	.	Name=hsa-mir-16-1;ID=MI0000070	14.7387871103923	2
chr13	.	miRNA	50623255	50623337	.	-	.	Name=hsa-mir-15a;ID=MI0000069	12.5627364585057	2
chr13	.	miRNA	52126725	52126803	.	+	.	Name=hsa-mir-4703;ID=MI0017336	0.101957037358707	0
chr13	.	miRNA	55748589	55748683	.	+	.	Name=hsa-mir-5007;ID=MI0017874	0.101957037358707	0
chr13	.	miRNA	66540462	66540561	.	-	.	Name=hsa-mir-548x-2;ID=MI0016833	0.600685478764704	0
chr13	.	miRNA	66792382	66792456	.	+	.	Name=hsa-mir-4704;ID=MI0017337	1.01947386915187	1
chr13	.	miRNA	92002859	92002942	.	+	.	Name=hsa-mir-17;ID=MI0000071	11.5888730924776	2
chr13	.	miRNA	92003005	92003075	.	+	.	Name=hsa-mir-18a;ID=MI0000072	13.2491337658945	2
chr13	.	miRNA	92003145	92003226	.	+	.	Name=hsa-mir-19a;ID=MI0000073	8.47058648037788	2
chr13	.	miRNA	92003319	92003389	.	+	.	Name=hsa-mir-20a;ID=MI0000076	12.6870998298208	2
chr13	.	miRNA	92003446	92003532	.	+	.	Name=hsa-mir-19b-1;ID=MI0000074	8.75894173814439	2
chr13	.	miRNA	92003568	92003645	.	+	.	Name=hsa-mir-92a-1;ID=MI0000093	10.4033136815354	2
chr13	.	miRNA	93142416	93142473	.	+	.	Name=hsa-mir-548as;ID=MI0019132	3.21315227037519	2
chr13	.	miRNA	102619992	102620096	.	-	.	Name=hsa-mir-2681;ID=MI0012062	0.101957037358707	0
chr13	.	miRNA	115009980	115010036	.	+	.	Name=hsa-mir-548ar;ID=MI0019131	1.06354017978206	1
chr14	.	miRNA	21491473	21491545	.	-	.	Name=hsa-mir-6717;ID=MI0022551	0.101957037358707	0
chr14	.	miRNA	23426159	23426238	.	-	.	Name=hsa-mir-4707;ID=MI0017340	0.795104217918653	0
chr14	.	miRNA	23857805	23857875	.	-	.	Name=hsa-mir-208a;ID=MI0000251	0.792032374919302	0
chr14	.	miRNA	23887196	23887272	.	-	.	Name=hsa-mir-208b;ID=MI0005570	1.01702016414717	1
chr14	.	miRNA	31483852	31483948	.	-	.	Name=hsa-mir-624;ID=MI0003638	5.52501338625629	2
chr14	.	miRNA	54415145	54415202	.	-	.	Name=hsa-mir-5580;ID=MI0019135	0.101957037358707	0
chr14	.	miRNA	60113680	60113738	.	-	.	Name=hsa-mir-5586;ID=MI0019143	1.80948954924307	1
chr14	.	miRNA	64561742	64561843	.	-	.	Name=hsa-mir-548h-1;ID=MI0006411	0.505375298960379	0
chr14	.	miRNA	65252344	65252404	.	-	.	Name=hsa-mir-7855;ID=MI0025525	0.101957037358707	0
chr14	.	miRNA	65801835	65801901	.	-	.	Name=hsa-mir-4708;ID=MI0017341	0.101957037358707	0
chr14	.	miRNA	65937820	65937904	.	+	.	Name=hsa-mir-625;ID=MI0003639	7.35984230645937	2
chr14	.	miRNA	72983528	72983606	.	+	.	Name=hsa-mir-7843;ID=MI0025510	0.101957037358707	0
chr14	.	miRNA	74946836	74946907	.	-	.	Name=hsa-mir-4709;ID=MI0017342	0.101957037358707	0
chr14	.	miRNA	95604256	95604323	.	-	.	Name=hsa-mir-3173;ID=MI0014204	0.101957037358707	0
chr14	.	miRNA	100575992	100576090	.	+	.	Name=hsa-mir-342;ID=MI0000805	6.40953050206647	2
chr14	.	miRNA	100743694	100743754	.	+	.	Name=hsa-mir-6764;ID=MI0022609	0.505375298960379	0
chr14	.	miRNA	100774196	100774293	.	+	.	Name=hsa-mir-345;ID=MI0000825	4.16925211737599	2
chr14	.	miRNA	101318727	101318824	.	+	.	Name=hsa-mir-770;ID=MI0005118	0.0575052747878735	0
chr14	.	miRNA	101335397	101335485	.	+	.	Name=hsa-mir-493;ID=MI0003132	1.02192156822211	1
chr14	.	miRNA	101340830	101340922	.	+	.	Name=hsa-mir-337;ID=MI0000806	0.101957037358707	0
chr14	.	miRNA	101347344	101347457	.	+	.	Name=hsa-mir-431;ID=MI0001721	0.509464810949201	0
chr14	.	miRNA	101348223	101348315	.	+	.	Name=hsa-mir-433;ID=MI0001723	0.101957037358707	0
chr14	.	miRNA	101349316	101349412	.	+	.	Name=hsa-mir-127;ID=MI0000472	0.509464810949201	0
chr14	.	miRNA	101350820	101350913	.	+	.	Name=hsa-mir-432;ID=MI0003133	0.101957037358707	0
chr14	.	miRNA	101351039	101351120	.	+	.	Name=hsa-mir-136;ID=MI0000475	0.798166653589054	0
chr14	.	miRNA	101377476	101377550	.	+	.	Name=hsa-mir-370;ID=MI0000778	0.101957037358707	0
