chr	source	feature	start	end	score	strand	frame	group	log_RPM	expression
chr1	.	miRNA	171070880	171070939	.	+	.	Name=hsa-mir-1295b;ID=MI0019146	-5.17496571531869	0
chr1	.	miRNA	172107938	172108047	.	-	.	Name=hsa-mir-214;ID=MI0000290	5.45217304679901	2
chr1	.	miRNA	172107948	172108028	.	+	.	Name=hsa-mir-3120;ID=MI0014136	-2.00772665268878	1
chr1	.	miRNA	172113675	172113784	.	-	.	Name=hsa-mir-199a-2;ID=MI0000281	9.43494579186019	2
chr1	.	miRNA	176998499	176998581	.	-	.	Name=hsa-mir-488;ID=MI0003123	-3.49895236748619	0
chr1	.	miRNA	180407449	180407525	.	-	.	Name=hsa-mir-3121;ID=MI0014137	-5.17496571531869	0
chr1	.	miRNA	196551543	196551611	.	-	.	Name=hsa-mir-4735;ID=MI0017372	-5.17496571531869	0
chr1	.	miRNA	198828002	198828111	.	-	.	Name=hsa-mir-181b-1;ID=MI0000270	6.15527400487109	2
chr1	.	miRNA	198828173	198828282	.	-	.	Name=hsa-mir-181a-1;ID=MI0000289	7.16961808823666	2
chr1	.	miRNA	201832501	201832575	.	+	.	Name=hsa-mir-6739;ID=MI0022584	-3.60610358726433	0
chr1	.	miRNA	201972252	201972364	.	+	.	Name=hsa-mir-6740;ID=MI0022585	-4.43969243723542	0
chr1	.	miRNA	205417430	205417526	.	-	.	Name=hsa-mir-135b;ID=MI0000810	0.997342255035748	2
chr1	.	miRNA	206648146	206648207	.	+	.	Name=hsa-mir-6769b;ID=MI0022706	-5.17496571531869	0
chr1	.	miRNA	207975197	207975284	.	-	.	Name=hsa-mir-29c;ID=MI0000735	2.2520145707231	2
chr1	.	miRNA	207975788	207975868	.	-	.	Name=hsa-mir-29b-2;ID=MI0000107	7.21868731256308	2
chr1	.	miRNA	209605478	209605587	.	+	.	Name=hsa-mir-205;ID=MI0000285	-4.20833250840572	0
chr1	.	miRNA	220291195	220291304	.	-	.	Name=hsa-mir-215;ID=MI0000291	-1.86450897967371	1
chr1	.	miRNA	220291499	220291583	.	-	.	Name=hsa-mir-194-1;ID=MI0000488	3.42828362830116	2
chr1	.	miRNA	220373880	220373961	.	-	.	Name=hsa-mir-664a;ID=MI0006442	0.243966507892131	2
chr1	.	miRNA	224585929	224586013	.	-	.	Name=hsa-mir-4742;ID=MI0017380	-0.27308167157046	2
chr1	.	miRNA	226109780	226109842	.	-	.	Name=hsa-mir-6741;ID=MI0022586	-5.17496571531869	0
chr1	.	miRNA	228129291	228129384	.	-	.	Name=hsa-mir-5008;ID=MI0017876	-3.71987549447956	0
chr1	.	miRNA	228284964	228285042	.	+	.	Name=hsa-mir-3620;ID=MI0016011	-5.17496571531869	0
chr1	.	miRNA	228584749	228584810	.	-	.	Name=hsa-mir-6742;ID=MI0022587	-5.17496571531869	0
chr1	.	miRNA	228649775	228649853	.	+	.	Name=hsa-mir-4666a;ID=MI0017296	-5.17496571531869	0
chr1	.	miRNA	234442213	234442285	.	+	.	Name=hsa-mir-4671;ID=MI0017302	-5.17496571531869	0
chr1	.	miRNA	235353349	235353431	.	-	.	Name=hsa-mir-4753;ID=MI0017392	-2.48206516741895	1
chr1	.	miRNA	236016300	236016360	.	-	.	Name=hsa-mir-1537;ID=MI0007258	-0.924945118813382	2
chr1	.	miRNA	243509478	243509557	.	+	.	Name=hsa-mir-4677;ID=MI0017308	-1.18499274782336	2
chr1	.	miRNA	249120576	249120642	.	+	.	Name=hsa-mir-3124;ID=MI0014140	-2.55884762367551	1
chr10	.	miRNA	687629	687718	.	-	.	Name=hsa-mir-5699;ID=MI0019306	1.07822414563351	2
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	-5.17496571531869	0
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	-5.17496571531869	0
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	-5.17496571531869	0
chr10	.	miRNA	17887107	17887193	.	+	.	Name=hsa-mir-511;ID=MI0003127	-5.17496571531869	0
chr10	.	miRNA	21785491	21785570	.	-	.	Name=hsa-mir-1915;ID=MI0008336	-4.74122029603076	0
chr10	.	miRNA	30657526	30657594	.	-	.	Name=hsa-mir-7162;ID=MI0023623	-5.17496571531869	0
chr10	.	miRNA	45659462	45659536	.	+	.	Name=hsa-mir-3156-1;ID=MI0014184	-5.17496571531869	0
chr10	.	miRNA	53059333	53059415	.	+	.	Name=hsa-mir-605;ID=MI0003618	-3.10633894135689	1
chr10	.	miRNA	56367634	56367717	.	-	.	Name=hsa-mir-548f-1;ID=MI0006374	-5.17496571531869	0
chr10	.	miRNA	65132717	65132808	.	-	.	Name=hsa-mir-1296;ID=MI0003780	-0.28682665596648	2
chr10	.	miRNA	69163109	69163168	.	-	.	Name=hsa-mir-7151;ID=MI0023611	-3.13950322293011	1
chr10	.	miRNA	73550504	73550557	.	+	.	Name=hsa-mir-7152;ID=MI0023612	-5.17496571531869	0
chr10	.	miRNA	74480787	74480858	.	+	.	Name=hsa-mir-4676;ID=MI0017307	-3.40217944747207	0
chr10	.	miRNA	97824072	97824156	.	-	.	Name=hsa-mir-3157;ID=MI0014185	-0.618218730683586	2
chr10	.	miRNA	100154975	100155064	.	-	.	Name=hsa-mir-1287;ID=MI0006349	3.34137222166455	2
chr10	.	miRNA	100191049	100191117	.	-	.	Name=hsa-mir-4685;ID=MI0017317	-5.17496571531869	0
chr10	.	miRNA	100684256	100684325	.	-	.	Name=hsa-mir-6507;ID=MI0022219	-5.17496571531869	0
chr10	.	miRNA	103361174	103361254	.	+	.	Name=hsa-mir-3158-1;ID=MI0014186	-0.946032387241339	2
chr10	.	miRNA	103361174	103361254	.	-	.	Name=hsa-mir-3158-2;ID=MI0014187	-1.21355831370768	2
chr10	.	miRNA	104196269	104196341	.	+	.	Name=hsa-mir-146b;ID=MI0003129	2.65641343449736	2
chr10	.	miRNA	105154010	105154158	.	-	.	Name=hsa-mir-1307;ID=MI0006444	2.81262211785325	2
chr10	.	miRNA	106028094	106028163	.	-	.	Name=hsa-mir-4482;ID=MI0016843	-5.17496571531869	0
chr10	.	miRNA	112657848	112657913	.	+	.	Name=hsa-mir-4680;ID=MI0017312	-3.98563862802063	0
chr10	.	miRNA	112748684	112748771	.	+	.	Name=hsa-mir-548e;ID=MI0006344	-1.55121753644779	1
chr10	.	miRNA	114059370	114059446	.	-	.	Name=hsa-mir-6715b;ID=MI0022549	-5.17496571531869	0
chr10	.	miRNA	114059370	114059448	.	+	.	Name=hsa-mir-6715a;ID=MI0022548	-5.17496571531869	0
chr10	.	miRNA	118927189	118927285	.	-	.	Name=hsa-mir-3663;ID=MI0016064	-5.17496571531869	0
chr10	.	miRNA	135061015	135061124	.	-	.	Name=hsa-mir-202;ID=MI0003130	-5.17496571531869	0
chr10	.	miRNA	135185060	135185167	.	-	.	Name=hsa-mir-3944;ID=MI0016601	-5.17496571531869	0
chr11	.	miRNA	209336	209406	.	+	.	Name=hsa-mir-6743;ID=MI0022588	-4.3116867980044	0
chr11	.	miRNA	568089	568198	.	-	.	Name=hsa-mir-210;ID=MI0000286	5.09597638615696	2
chr11	.	miRNA	1277835	1277900	.	+	.	Name=hsa-mir-6744;ID=MI0022589	-5.17496571531869	0
chr11	.	miRNA	1901275	1901377	.	+	.	Name=hsa-mir-7847;ID=MI0025517	-5.17496571531869	0
chr11	.	miRNA	2017989	2018061	.	-	.	Name=hsa-mir-675;ID=MI0005416	-2.76154576063628	1
chr11	.	miRNA	2155364	2155439	.	-	.	Name=hsa-mir-483;ID=MI0002467	-0.809130329741645	2
chr11	.	miRNA	3877292	3877371	.	+	.	Name=hsa-mir-4687;ID=MI0017319	-2.46869804010646	1
chr11	.	miRNA	19781550	19781629	.	-	.	Name=hsa-mir-4694;ID=MI0017327	-5.17496571531869	0
chr11	.	miRNA	34963384	34963467	.	+	.	Name=hsa-mir-1343;ID=MI0017320	-4.02057063345367	0
chr11	.	miRNA	43581206	43581303	.	+	.	Name=hsa-mir-670;ID=MI0003933	-5.17496571531869	0
chr11	.	miRNA	43602944	43603033	.	+	.	Name=hsa-mir-129-2;ID=MI0000473	-1.68188115895597	1
chr11	.	miRNA	45713254	45713326	.	-	.	Name=hsa-mir-7154;ID=MI0023614	-5.17496571531869	0
chr11	.	miRNA	46473355	46473439	.	-	.	Name=hsa-mir-3160-1;ID=MI0014189	-3.54322515443922	0
chr11	.	miRNA	46473357	46473437	.	+	.	Name=hsa-mir-3160-2;ID=MI0014190	-3.54322515443922	0
chr11	.	miRNA	46774675	46774742	.	-	.	Name=hsa-mir-5582;ID=MI0019138	0.153846463213774	2
chr11	.	miRNA	57408671	57408759	.	+	.	Name=hsa-mir-130a;ID=MI0000448	7.07033927013487	2
chr11	.	miRNA	59362550	59362631	.	-	.	Name=hsa-mir-3162;ID=MI0014192	-5.17496571531869	0
chr11	.	miRNA	59976544	59976629	.	-	.	Name=hsa-mir-6503;ID=MI0022215	-5.17496571531869	0
chr11	.	miRNA	61582633	61582712	.	-	.	Name=hsa-mir-1908;ID=MI0008329	-4.04807311547082	0
chr11	.	miRNA	61645688	61645750	.	-	.	Name=hsa-mir-6746;ID=MI0022591	-5.17496571531869	0
chr11	.	miRNA	62334483	62334543	.	-	.	Name=hsa-mir-6747;ID=MI0022592	-5.17496571531869	0
chr11	.	miRNA	62557287	62557357	.	+	.	Name=hsa-mir-6748;ID=MI0022593	-5.17496571531869	0
chr11	.	miRNA	62560174	62560243	.	-	.	Name=hsa-mir-6514;ID=MI0022226	-1.66568103414517	1
chr11	.	miRNA	64109321	64109376	.	-	.	Name=hsa-mir-7155;ID=MI0023615	-4.74122029603076	0
chr11	.	miRNA	64136074	64136175	.	+	.	Name=hsa-mir-1237;ID=MI0006327	-1.720044580237	1
chr11	.	miRNA	64658609	64658718	.	-	.	Name=hsa-mir-192;ID=MI0000234	1.2726132385827	2
chr11	.	miRNA	64658827	64658911	.	-	.	Name=hsa-mir-194-2;ID=MI0000732	3.45164952637556	2
chr11	.	miRNA	64665835	64665909	.	-	.	Name=hsa-mir-6750;ID=MI0022595	-5.17496571531869	0
chr11	.	miRNA	64669859	64669927	.	-	.	Name=hsa-mir-6749;ID=MI0022594	-5.17496571531869	0
chr11	.	miRNA	64785977	64786042	.	+	.	Name=hsa-mir-6879;ID=MI0022726	-5.17496571531869	0
chr11	.	miRNA	64897388	64897450	.	-	.	Name=hsa-mir-6751;ID=MI0022596	-3.05731549829483	1
chr11	.	miRNA	65403781	65403840	.	+	.	Name=hsa-mir-4690;ID=MI0017323	-4.20833250840572	0
chr11	.	miRNA	67257716	67257786	.	+	.	Name=hsa-mir-6752;ID=MI0022597	-5.17496571531869	0
chr11	.	miRNA	67800331	67800389	.	+	.	Name=hsa-mir-7113;ID=MI0022964	-5.17496571531869	0
chr11	.	miRNA	67801364	67801448	.	+	.	Name=hsa-mir-4691;ID=MI0017324	-5.17496571531869	0
chr11	.	miRNA	67812261	67812424	.	+	.	Name=hsa-mir-6753;ID=MI0022598	-5.17496571531869	0
chr11	.	miRNA	70718375	70718473	.	-	.	Name=hsa-mir-3664;ID=MI0016065	-1.82261759728095	1
chr11	.	miRNA	71184549	71184614	.	+	.	Name=hsa-mir-6754;ID=MI0022599	-5.17496571531869	0
chr11	.	miRNA	72326107	72326174	.	-	.	Name=hsa-mir-139;ID=MI0000261	-0.269624385321393	2
chr11	.	miRNA	79113066	79113153	.	-	.	Name=hsa-mir-708;ID=MI0005543	5.82962392000975	2
chr11	.	miRNA	79133213	79133270	.	-	.	Name=hsa-mir-5579;ID=MI0019133	-0.206657348686572	2
chr11	.	miRNA	85989375	85989440	.	+	.	Name=hsa-mir-6755;ID=MI0022600	-4.3116867980044	0
chr11	.	miRNA	93466840	93466930	.	-	.	Name=hsa-mir-1304;ID=MI0006371	1.0895563044981	2
chr11	.	miRNA	103720634	103720708	.	+	.	Name=hsa-mir-4693;ID=MI0017326	-5.17496571531869	0
chr11	.	miRNA	111383663	111383746	.	+	.	Name=hsa-mir-34b;ID=MI0000742	1.36423926409644	2
chr11	.	miRNA	111384164	111384240	.	+	.	Name=hsa-mir-34c;ID=MI0000743	1.67149872988408	2
chr11	.	miRNA	118514718	118514797	.	+	.	Name=hsa-mir-6716;ID=MI0022550	-3.72612952182449	0
chr11	.	miRNA	119183660	119183722	.	-	.	Name=hsa-mir-6756;ID=MI0022601	-5.17496571531869	0
chr11	.	miRNA	121970465	121970552	.	-	.	Name=hsa-mir-125b-1;ID=MI0000446	6.39263404920085	2
chr11	.	miRNA	122017230	122017301	.	-	.	Name=hsa-let-7a-2;ID=MI0000061	8.40548041195818	2
chr11	.	miRNA	122022937	122023016	.	-	.	Name=hsa-mir-100;ID=MI0000102	9.89833748404042	2
chr11	.	miRNA	133768399	133768476	.	-	.	Name=hsa-mir-4697;ID=MI0017330	-5.17496571531869	0
chr12	.	miRNA	7072862	7072929	.	+	.	Name=hsa-mir-200c;ID=MI0000650	-0.996705245342803	2
chr12	.	miRNA	7073260	7073354	.	+	.	Name=hsa-mir-141;ID=MI0000457	0.474667596839114	2
chr12	.	miRNA	42717502	42717661	.	-	.	Name=hsa-mir-7851;ID=MI0025521	-3.86255205330157	0
chr12	.	miRNA	48526580	48526650	.	+	.	Name=hsa-mir-6505;ID=MI0022217	-2.35192772822925	1
chr12	.	miRNA	49165758	49165820	.	-	.	Name=hsa-mir-4701;ID=MI0017334	-5.17496571531869	0
chr12	.	miRNA	53450728	53450796	.	+	.	Name=hsa-mir-6757;ID=MI0022602	-5.17496571531869	0
chr12	.	miRNA	54385522	54385631	.	+	.	Name=hsa-mir-196a-2;ID=MI0000279	-3.09886902040872	0
chr12	.	miRNA	54427734	54427829	.	+	.	Name=hsa-mir-615;ID=MI0003628	0.529894990679518	2
chr12	.	miRNA	54731000	54731098	.	+	.	Name=hsa-mir-148b;ID=MI0000811	6.45008965021575	2
chr12	.	miRNA	57588287	57588359	.	+	.	Name=hsa-mir-1228;ID=MI0006318	-1.21939421897936	1
chr12	.	miRNA	57906471	57906533	.	+	.	Name=hsa-mir-6758;ID=MI0022603	-2.18220474746927	1
chr12	.	miRNA	57912946	57913042	.	-	.	Name=hsa-mir-616;ID=MI0003629	-2.95589071279677	1
chr12	.	miRNA	58142401	58142465	.	-	.	Name=hsa-mir-6759;ID=MI0022604	-5.17496571531869	0
chr12	.	miRNA	58218392	58218475	.	-	.	Name=hsa-mir-26a-2;ID=MI0000750	8.08757548482652	2
chr12	.	miRNA	62997466	62997549	.	+	.	Name=hsa-let-7i;ID=MI0000434	6.81829020131108	2
chr12	.	miRNA	65016289	65016385	.	+	.	Name=hsa-mir-548c;ID=MI0003630	-5.17496571531869	0
chr12	.	miRNA	66644862	66644937	.	+	.	Name=hsa-mir-6502;ID=MI0022214	-5.17496571531869	0
chr12	.	miRNA	69978502	69978603	.	-	.	Name=hsa-mir-3913-1;ID=MI0016417	1.79581786706958	2
chr12	.	miRNA	69978503	69978602	.	+	.	Name=hsa-mir-3913-2;ID=MI0016418	1.78114217652472	2
chr12	.	miRNA	79813037	79813101	.	+	.	Name=hsa-mir-1252;ID=MI0006434	-2.23052673615225	1
chr12	.	miRNA	81552167	81552240	.	+	.	Name=hsa-mir-4699;ID=MI0017332	-5.17496571531869	0
chr12	.	miRNA	94965007	94965128	.	-	.	Name=hsa-mir-7844;ID=MI0025514	-5.17496571531869	0
chr12	.	miRNA	95702196	95702289	.	+	.	Name=hsa-mir-331;ID=MI0000812	3.63172294915205	2
chr12	.	miRNA	97885687	97885756	.	+	.	Name=hsa-mir-1251;ID=MI0006386	-5.17496571531869	0
chr12	.	miRNA	97957590	97957689	.	+	.	Name=hsa-mir-135a-2;ID=MI0000453	-4.79860402865823	0
chr12	.	miRNA	104985411	104985494	.	+	.	Name=hsa-mir-3922;ID=MI0016429	-2.61918719168042	1
chr12	.	miRNA	109230684	109230782	.	-	.	Name=hsa-mir-619;ID=MI0003633	-5.17496571531869	0
chr12	.	miRNA	111741946	111742013	.	+	.	Name=hsa-mir-6760;ID=MI0022605	-5.17496571531869	0
chr12	.	miRNA	112237638	112237709	.	+	.	Name=hsa-mir-6761;ID=MI0022606	-5.17496571531869	0
chr12	.	miRNA	112601062	112601125	.	-	.	Name=hsa-mir-6861;ID=MI0022708	-4.02057063345367	0
chr12	.	miRNA	113596918	113596982	.	-	.	Name=hsa-mir-7106;ID=MI0022957	-5.17496571531869	0
chr12	.	miRNA	113729328	113729413	.	+	.	Name=hsa-mir-6762;ID=MI0022607	-5.17496571531869	0
chr12	.	miRNA	120151439	120151529	.	-	.	Name=hsa-mir-1178;ID=MI0006271	-5.17496571531869	0
chr12	.	miRNA	121160996	121161069	.	+	.	Name=hsa-mir-4700;ID=MI0017333	-5.17496571531869	0
chr12	.	miRNA	121882076	121882155	.	-	.	Name=hsa-mir-7107;ID=MI0022958	-5.17496571531869	0
chr12	.	miRNA	124821727	124821788	.	-	.	Name=hsa-mir-6880;ID=MI0022727	-5.17496571531869	0
chr12	.	miRNA	133158583	133158647	.	+	.	Name=hsa-mir-6763;ID=MI0022608	-5.17496571531869	0
chr13	.	miRNA	24736555	24736643	.	+	.	Name=hsa-mir-2276;ID=MI0011282	0.0410820749304187	2
chr13	.	miRNA	42142422	42142531	.	-	.	Name=hsa-mir-5006;ID=MI0017873	-5.17496571531869	0
chr13	.	miRNA	50570551	50570637	.	-	.	Name=hsa-mir-3613;ID=MI0016003	-0.246014074842546	2
chr13	.	miRNA	50623109	50623197	.	-	.	Name=hsa-mir-16-1;ID=MI0000070	10.3236447884718	2
chr13	.	miRNA	50623255	50623337	.	-	.	Name=hsa-mir-15a;ID=MI0000069	8.08095643042925	2
chr13	.	miRNA	52126725	52126803	.	+	.	Name=hsa-mir-4703;ID=MI0017336	-5.17496571531869	0
chr13	.	miRNA	55748589	55748683	.	+	.	Name=hsa-mir-5007;ID=MI0017874	-5.17496571531869	0
chr13	.	miRNA	66540462	66540561	.	-	.	Name=hsa-mir-548x-2;ID=MI0016833	-5.17496571531869	0
chr13	.	miRNA	66792382	66792456	.	+	.	Name=hsa-mir-4704;ID=MI0017337	-5.17496571531869	0
chr13	.	miRNA	92002859	92002942	.	+	.	Name=hsa-mir-17;ID=MI0000071	6.77521975117414	2
chr13	.	miRNA	92003005	92003075	.	+	.	Name=hsa-mir-18a;ID=MI0000072	7.14640566827556	2
chr13	.	miRNA	92003145	92003226	.	+	.	Name=hsa-mir-19a;ID=MI0000073	3.19047982593166	2
chr13	.	miRNA	92003319	92003389	.	+	.	Name=hsa-mir-20a;ID=MI0000076	7.74427177819912	2
chr13	.	miRNA	92003446	92003532	.	+	.	Name=hsa-mir-19b-1;ID=MI0000074	3.73627427694927	2
chr13	.	miRNA	92003568	92003645	.	+	.	Name=hsa-mir-92a-1;ID=MI0000093	5.65523511026249	2
chr13	.	miRNA	93142416	93142473	.	+	.	Name=hsa-mir-548as;ID=MI0019132	-5.17496571531869	0
chr13	.	miRNA	102619992	102620096	.	-	.	Name=hsa-mir-2681;ID=MI0012062	-2.6233435387446	1
chr13	.	miRNA	115009980	115010036	.	+	.	Name=hsa-mir-548ar;ID=MI0019131	-1.98890617159174	1
chr14	.	miRNA	21491473	21491545	.	-	.	Name=hsa-mir-6717;ID=MI0022551	-4.79860402865823	0
chr14	.	miRNA	23426159	23426238	.	-	.	Name=hsa-mir-4707;ID=MI0017340	-2.09300152891206	1
chr14	.	miRNA	23857805	23857875	.	-	.	Name=hsa-mir-208a;ID=MI0000251	-5.17496571531869	0
chr14	.	miRNA	23887196	23887272	.	-	.	Name=hsa-mir-208b;ID=MI0005570	-3.23756854403811	0
chr14	.	miRNA	31483852	31483948	.	-	.	Name=hsa-mir-624;ID=MI0003638	0.0442994999736888	2
chr14	.	miRNA	54415145	54415202	.	-	.	Name=hsa-mir-5580;ID=MI0019135	-3.85538716677463	0
chr14	.	miRNA	60113680	60113738	.	-	.	Name=hsa-mir-5586;ID=MI0019143	-2.94657951816357	1
chr14	.	miRNA	64561742	64561843	.	-	.	Name=hsa-mir-548h-1;ID=MI0006411	-0.0982903614077284	2
chr14	.	miRNA	65252344	65252404	.	-	.	Name=hsa-mir-7855;ID=MI0025525	-5.17496571531869	0
chr14	.	miRNA	65801835	65801901	.	-	.	Name=hsa-mir-4708;ID=MI0017341	-5.17496571531869	0
chr14	.	miRNA	65937820	65937904	.	+	.	Name=hsa-mir-625;ID=MI0003639	3.63524159143069	2
chr14	.	miRNA	72983528	72983606	.	+	.	Name=hsa-mir-7843;ID=MI0025510	-5.17496571531869	0
chr14	.	miRNA	74946836	74946907	.	-	.	Name=hsa-mir-4709;ID=MI0017342	-5.17496571531869	0
chr14	.	miRNA	95604256	95604323	.	-	.	Name=hsa-mir-3173;ID=MI0014204	-5.17496571531869	0
chr14	.	miRNA	100575992	100576090	.	+	.	Name=hsa-mir-342;ID=MI0000805	5.55489491822392	2
chr14	.	miRNA	100743694	100743754	.	+	.	Name=hsa-mir-6764;ID=MI0022609	-3.37876378312221	0
chr14	.	miRNA	100774196	100774293	.	+	.	Name=hsa-mir-345;ID=MI0000825	0.840750253100836	2
chr14	.	miRNA	101318727	101318824	.	+	.	Name=hsa-mir-770;ID=MI0005118	1.86327685712349	2
chr14	.	miRNA	101335397	101335485	.	+	.	Name=hsa-mir-493;ID=MI0003132	5.272908652775	2
chr14	.	miRNA	101340830	101340922	.	+	.	Name=hsa-mir-337;ID=MI0000806	4.32365007146313	2
chr14	.	miRNA	101347344	101347457	.	+	.	Name=hsa-mir-431;ID=MI0001721	6.42719646404822	2
chr14	.	miRNA	101348223	101348315	.	+	.	Name=hsa-mir-433;ID=MI0001723	2.89434018323061	2
chr14	.	miRNA	101349316	101349412	.	+	.	Name=hsa-mir-127;ID=MI0000472	5.50800074312272	2
